trial_id,action,t_sent_ns,t_scan_ms,t_connect_ms,t_key_exchange_ms,t_write_ms,t_ack_ms,t_total_ms,success,error
lat_C_0001,STAND_UP,21430440457047,343.8,4187.9,767.3,82.4,134.9,7901.1,True,
lat_C_0002,STAND_UP,21440340273549,2144.4,3151.0,,307.3,90.4,7987.9,True,
lat_C_0003,STAND_UP,21449069854764,832.6,3202.0,,262.9,89.9,6997.5,True,
lat_C_0004,STAND_UP,21460724543005,2109.8,4579.2,,263.1,90.2,8976.5,True,
lat_C_0005,STAND_UP,21469048609171,837.4,3196.9,,309.1,89.8,6997.6,True,
lat_C_0006,STAND_UP,21478005236242,869.1,3121.9,,307.5,90.2,6997.7,True,
lat_C_0007,STAND_UP,21493440246742,5971.0,4454.8,,307.0,180.5,13027.7,True,
lat_C_0008,STAND_UP,21503340038083,2130.6,3164.9,,532.5,135.0,7987.7,True,
lat_C_0009,STAND_UP,21514634834645,3408.9,3191.2,,262.9,90.1,8977.4,True,
lat_C_0010,STAND_UP,21523005620960,833.0,3158.2,,261.9,90.1,6998.3,True,
lat_C_0011,STAND_UP,21534615988472,2127.0,4473.9,,261.8,90.8,9022.7,True,
lat_C_0012,STAND_UP,21543075101111,840.3,3194.5,,307.4,89.8,6997.7,True,
lat_C_0013,STAND_UP,21553333948170,834.3,4460.9,,308.7,89.9,7989.1,True,
lat_C_0014,STAND_UP,21562065772385,840.2,3196.2,,261.6,90.3,6998.7,True,
lat_C_0015,STAND_UP,21572324915489,844.4,4450.0,,262.5,90.1,7987.6,True,
lat_C_0016,STAND_UP,21592574902157,3410.4,12144.0,,262.7,90.0,18021.7,True,
lat_C_0017,STAND_UP,21601080752178,840.9,3195.2,,262.0,91.1,6997.5,True,
lat_C_0018,STAND_UP,21610078878494,847.2,3187.1,,263.8,90.0,6997.8,True,
lat_C_0019,STAND_UP,21619081925319,838.9,3198.1,,260.8,90.0,6997.6,True,
lat_C_0020,STAND_UP,21634469815125,841.2,9583.6,,307.5,90.1,12982.8,True,
lat_C_0021,STAND_UP,21643022236861,842.5,3149.5,,260.2,90.2,6997.5,True,
lat_C_0022,STAND_UP,21652020737590,854.8,3135.9,,261.9,90.0,6997.7,True,
lat_C_0023,STAND_UP,21661020195764,832.5,3157.5,,308.8,93.4,6997.6,True,
lat_C_0024,STAND_UP,21675195108257,3410.3,5755.4,,262.4,91.3,11993.7,True,
lat_C_0025,STAND_UP,21684058657119,839.2,3194.0,,264.0,91.2,6997.7,True,
lat_C_0026,STAND_UP,21694322490491,841.8,4456.2,,260.2,91.2,7988.4,True,
lat_C_0027,STAND_UP,21703051272652,857.8,3179.4,,261.2,90.1,6998.1,True,
lat_C_0028,STAND_UP,21714613975781,2136.7,4462.6,,308.5,91.3,9022.8,True,
lat_C_0029,STAND_UP,21723075905526,838.6,3197.4,,263.0,90.0,7042.5,True,
lat_C_0030,STAND_UP,21734596479508,808.1,5704.0,,306.9,89.2,8933.5,True,
