requested_plaintext_bytes,actual_plaintext_bytes,encrypted_frame_size_bytes,above_default_att_mtu,success,write_duration_ms,ack_received,observed_client_mtu,error
1,47,80,True,True,82.95,True,23,
8,47,80,True,True,89.71,True,23,
16,47,80,True,True,88.64,True,23,
20,47,80,True,True,134.5,True,23,
32,47,80,True,True,89.47,True,23,
50,50,96,True,True,134.75,True,23,
64,64,112,True,True,89.29,True,23,
100,100,144,True,True,89.82,True,23,
128,128,176,True,True,89.68,True,23,
200,200,240,True,True,89.77,True,23,
256,256,304,True,True,89.57,True,23,
400,400,448,True,True,89.81,True,23,
512,512,560,True,False,0.0,False,23,"(<BleakGATTProtocolErrorCode.INVALID_ATTRIBUTE_VALUE_LENGTH: 13>, 'GATT Protocol Error: Invalid Attribute Value Length')"
